response,offset_task,prime,pause_trigger,offset_prime,duration_measured_task,correct_resp,task_trigger,ID,rt,duration_frames_task,delay_frames_after,trial_type,duration_measured_prime,prime_trigger,pause_trigger_t,delay_frames_before,onset_prime,task_type,onset_task,gender,age,trial_number,key_t,duration_frames_prime
l,214.35604610000155,no_prime,52,210.6886497999949,2.9955309000215493,1,42,Group6,0.5624235000286717,180,118,none,0.03113730001496151,15,211.18922329999623,40,210.65751249997993,2,211.36051519998,female,,38,211.92293870000867,2
a,220.0227123000077,blue,31,216.35556520000682,2.9951294000202324,1,21,Group6,0.6956519999948796,180,118,blue,0.031264300021575764,11,216.85608339999453,40,216.32430089998525,1,217.02758289998746,female,,39,217.72323489998234,2
a,225.68961760000093,no_prime,51,222.02259340000455,2.9951781000127085,1,41,Group6,0.562255600001663,180,118,none,0.03134750001481734,15,222.52279749998706,40,221.99124589998974,1,222.69443949998822,female,,40,223.25669509998988,2
l,232.65665819999413,right,34,227.6896538999863,2.995495999988634,1,24,Group6,0.412630699982401,180,40,right,0.03153399997972883,14,228.18976199999452,118,227.65811990000657,2,229.6611622000055,female,,41,230.0737928999879,2
l,237.02333419999923,red,32,233.35645039999508,2.9951005000039004,1,22,Group6,0.5629179000097793,180,118,red,0.03165270001045428,12,233.8566174999869,40,233.32479769998463,2,234.02823369999533,female,,42,234.5911516000051,2
a,243.99035979999462,no_prime,51,239.02317499998026,2.995403400011128,1,41,Group6,0.5124847000115551,180,40,none,0.03130219999002293,15,239.52359359999537,118,238.99187279999023,1,240.9949563999835,female,,43,241.50744109999505,2
l,248.3570824000053,right,34,244.69022059999406,2.9951834000239614,1,24,Group6,0.5123665000137407,180,118,right,0.031382699991809204,14,245.19041459998698,40,244.65883790000225,2,245.36189899998135,female,,44,245.8742654999951,2
a,254.0240033000009,blue,31,250.3569021000003,2.9950685999938287,1,21,Group6,0.49570949998451397,180,118,blue,0.03134069999214262,11,250.8574343000073,40,250.32556140000816,1,251.02893470000708,female,,45,251.5246441999916,2
l,259.70779019998736,right,34,256.0239981999912,3.012091299984604,1,24,Group6,0.7290011000004597,180,118,right,0.03131120000034571,14,256.5240710999933,40,255.99268699999084,2,256.69569890000275,female,,46,257.4247000000032,2
a,266.674768900004,no_prime,51,261.70727869999246,2.995416000019759,1,41,Group6,0.5456551000243053,180,40,none,0.031049099983647466,15,262.20772859998397,118,261.6762296000088,1,263.6793528999842,female,,47,264.22500800000853,2
a,272.34137320000445,blue,31,267.3742868999834,2.995169800007716,1,21,Group6,0.545671100000618,180,40,blue,0.03129739998257719,11,267.87457089999225,118,267.34298950000084,1,269.34620339999674,female,,48,269.89187449999736,2
